raw_activity_type,clean_activity_type
walking,Walking
running,Running
runing,Running
weightlifting,Weightlifting
weight lifting,Weightlifting
pilates,Pilates
swimming,Swimming
swimmin,Swimming
hiit,HIIT
h.i.i.t,HIIT
yoga,Yoga
yogaa,Yoga
cycling,Cycling
cicling,Cycling
